label,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
metal,Myrkur,0.24,0.313,5,-11.476,1,0.033,0.791,1.56e-4,0.176,0.131,101.673,234923,3
metal,Monuments,0.445,0.968,6,-2.563,1,0.207,1.29e-5,9.99e-6,0.338,0.326,114.92,207391,4
metal,The Southern Oracle,0.51,0.989,1,-3.66,0,0.376,1.24e-4,6.2e-5,0.41,0.371,99.889,141400,4
metal,Insomnium,0.498,0.833,7,-8.872,0,0.0405,1.65e-4,0.0497,0.123,0.121,117.962,272616,4
metal,Galleons,0.471,0.925,7,-4.633,1,0.0598,2.54e-4,2.65e-5,0.356,0.0768,100.012,303000,4
metal,Powerwolf,0.463,0.962,1,-5.697,0,0.0712,7.61e-4,0,0.239,0.188,109.899,211893,4
metal,Amberian Dawn,0.557,0.954,11,-4.318,0,0.034,4.54e-4,0.00111,0.0916,0.57,134.972,233472,4
metal,Ephemerald,0.247,0.899,2,-7.322,1,0.0716,2.48e-6,0.0717,0.188,0.0399,180.087,294832,4
metal,Guns N' Roses,0.447,0.954,8,-8.069,1,0.0751,0.0235,0.403,0.298,0.331,123.453,272027,4
metal,John Diva & the Rockets of Love,0.446,0.973,1,-4.111,1,0.053900000000000003,0.0156,1.81e-6,0.322,0.52,169.998,240840,4
metal,Abandoned In Destiny,0.468,0.932,10,-4.85,0,0.0652,2.6e-4,0,0.508,0.422,137.964,239565,4
metal,Liquorworks,0.419,0.894,8,-5.223,0,0.068,7e-4,0.931,0.156,0.16,154.982,442907,4
metal,Trash Boat,0.463,0.908,10,-4.373,0,0.0756,0.00893,2.82e-6,0.366,0.459,99.993,204745,4
metal,A Day To Remember,0.308,0.916,4,-4.13,0,0.0875,2.02e-5,0,0.322,0.68,122.231,185733,4
metal,GAUPA,0.312,0.634,6,-6.839,1,0.0307,0.00117,0.882,0.103,0.0788,130.424,447681,4
metal,Napalm Death,0.261,0.977,5,-5.878,0,0.0886,1.52e-4,0.00165,0.0769,0.316,95.847,80787,4
metal,Four Stroke Baron,0.494,0.805,1,-8.241,0,0.0815,9.93e-5,0.0327,0.485,0.287,98.001,253000,4
metal,Uniform,0.111,0.744,7,-5.941,1,0.129,3.82e-5,0.915,0.0714,0.0246,170.344,265947,4
metal,Caliban,0.494,0.966,7,-6.132,1,0.052,3.91e-5,1.62e-4,0.193,0.292,140.068,226150,4
metal,Rob Scallon,0.552,0.938,7,-5.248,1,0.0746,2.98e-6,0.717,0.0658,0.287,92.53,188021,4
metal,Killswitch Engage,0.197,0.956,10,-2.908,0,0.0663,7.61e-5,0.00992,0.261,0.209,177.018,244773,3
metal,Claustrofobia,0.312,0.987,1,-4.646,1,0.137,3.51e-4,0.0318,0.279,0.187,107.271,216715,4
metal,Marduk,0.195,0.983,3,-4.597,1,0.0773,1.68e-6,0.308,0.355,0.0378,93.087,225800,4
metal,Sojourner,0.376,0.674,8,-9.748,0,0.0426,0.00197,0.908,0.0616,0.0679,119.88,491942,4
metal,Ayreon,0.501,0.69,4,-7.635,0,0.0314,0.00572,8.05e-4,0.16,0.0492,96.988,436973,4
metal,Smash Hit Combo,0.558,0.981,4,-4.683,0,0.0712,2.97e-5,1.36e-4,0.666,0.262,105,216222,4
metal,Volumes,0.439,0.93,1,-7.056,1,0.0652,5e-5,0.488,0.212,0.383,83.992,224792,4
metal,Plini,0.588,0.755,8,-6.842,1,0.0434,0.0497,0.684,0.163,0.437,102.941,285040,4
metal,Underoath,0.414,0.944,1,-4.215,1,0.0739,4.61e-5,4.98e-4,0.201,0.131,165.047,190840,4
metal,Metallica,0.633,0.846,7,-6.347,1,0.0337,8.19e-4,0.00139,0.0762,0.448,89.23,323933,4
metal,LEACH,0.326,0.998,1,-1.382,1,0.102,0.00234,0,0.417,0.139,174.91,255747,4
metal,Andrew Baena,0.211,0.92,11,-5.915,0,0.0416,5.42e-6,0.609,0.455,0.102,105.161,152643,3
metal,Between The Buried And Me,0.199,0.913,4,-5.772,1,0.0915,2.3e-4,0.153,0.232,0.266,148.641,347760,3
metal,Underoath,0.419,0.932,1,-3.604,0,0.106,0.00171,0,0.137,0.445,169.881,268000,4
metal,Motörhead,0.329,0.974,3,-8.77,0,0.135,8.52e-4,1.18e-4,0.0904,0.234,140.862,166920,4
metal,The Very End,0.475,0.997,1,-3.141,1,0.0993,7.87e-5,0.00155,0.127,0.258,94.992,240240,4
metal,Mastodon,0.314,0.863,9,-7.2,1,0.0477,1.27e-6,0.685,0.0886,0.256,134.815,372640,4
metal,Gorgoroth,0.17,0.98,7,-12.697,1,0.0652,2.48e-6,0.852,0.515,0.0504,144.475,153240,4
metal,Satyricon,0.533,0.954,9,-6.632,1,0.0505,9.66e-6,0.398,0.051,0.398,129.758,216347,4
metal,Five Finger Death Punch,0.557,0.886,11,-4.196,0,0.0498,5.95e-4,9.84e-5,0.0904,0.17,114.025,262440,4
metal,The Chronicles of Manimal and Samara,0.278,0.834,9,-10.08,0,0.105,0.113,0.0172,0.192,0.118,133.523,461307,5
metal,The Heavy Eyes,0.383,0.892,9,-5.613,0,0.0758,6.43e-4,0.767,0.409,0.75,82.979,169781,4
metal,Michael Schenker Group,0.329,0.941,9,-7.687,1,0.084,0.00376,0.00525,0.0791,0.77,171.632,251320,4
metal,Sabaton,0.536,0.849,0,-4.702,1,0.0616,0.00318,0.00197,0.104,0.305,127.002,206547,4
metal,Cadaveria,0.489,0.942,5,-5.032,1,0.0711,3.84e-4,1.5e-4,0.259,0.405,128.022,309187,4
metal,Solence,0.694,0.765,5,-5.773,0,0.0613,0.0165,0.00278,0.179,0.407,129.927,203538,4
metal,Power Trip,0.484,0.991,8,-4.028,0,0.0676,2.89e-4,0.657,0.359,0.559,167.035,225245,4
metal,Accept,0.523,0.984,11,-3.695,0,0.116,1.86e-5,0.0175,0.0553,0.324,120.004,324747,4
metal,Disturbed,0.695,0.876,3,-4.262,0,0.0553,9.96e-4,6.89e-6,0.106,0.941,89.954,279213,4
metal,Anthrax,0.401,0.868,9,-7.58,0,0.0591,5.21e-4,5.55e-5,0.309,0.785,126.997,324609,4
metal,Crisix,0.607,0.878,2,-10.327,1,0.0973,2.64e-4,0.736,0.365,0.225,105.025,167293,4
metal,Vulture,0.306,0.935,4,-7.856,1,0.0611,6.88e-5,0.235,0.463,0.364,190.087,197933,4
metal,Evile,0.336,0.987,11,-6.044,0,0.128,2.14e-6,0.323,0.0738,0.094,113.549,237627,4
metal,The Damnnation,0.614,0.929,1,-5.087,1,0.0337,3.78e-4,0.00447,0.168,0.198,109.983,221240,4
metal,Saliva,0.462,0.855,1,-4.336,0,0.0428,8.06e-6,3.46e-4,0.0745,0.516,89.996,234288,4
metal,Suicidal Tendencies,0.282,0.996,9,-3.991,1,0.274,0.00668,0,0.0674,0.323,185.423,109307,4
metal,TOOL,0.375,0.682,0,-6.898,0,0.0364,0.00152,0.598,0.0897,0.396,159.23,363067,4
metal,Calligram,0.171,0.902,10,-5.92,1,0.101,2.7e-5,0.837,0.129,0.0871,87.289,295813,4
metal,September Mourning,0.261,0.963,2,-2.514,1,0.124,1.72e-5,0.00661,0.305,0.361,113.742,206823,5
metal,Candlemass,0.217,0.807,8,-4.802,1,0.0469,1.19e-5,0.179,0.0733,0.249,103.893,299293,3
metal,Classic Jack,0.352,0.936,7,-5.135,1,0.177,5.38e-5,2.42e-4,0.0851,0.473,199.988,169800,4
metal,John Petrucci,0.47,0.974,4,-6.334,1,0.0617,2.9e-4,0.814,0.106,0.431,95.014,367707,4
metal,AC/DC,0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728,208400,4
metal,Gama Bomb,0.337,0.984,9,-4.136,1,0.234,6.94e-4,0.0034,0.366,0.0884,104.977,278287,4
metal,Justice For The Damned,0.433,0.989,10,-3.183,0,0.133,7.02e-5,0.0909,0.162,0.326,144.974,168680,4
metal,Rotting Christ,0.493,0.935,9,-3.148,0,0.0843,0.00431,0.638,0.138,0.221,107.994,296173,4
metal,Amplifier,0.294,0.859,4,-4.635,0,0.0448,0.00519,0.0639,0.102,0.368,96.466,350513,4
metal,Black Sabbath,0.417,0.0889,2,-24.661,1,0.036,0.926,0.897,0.083,0.411,88.25,269533,4
metal,Filter,0.489,0.686,2,-8.034,1,0.0375,0.00287,0.749,0.212,0.313,177.101,315080,4
metal,Feuerschwanz,0.424,0.892,6,-5.65,0,0.0546,0.00895,0,0.344,0.444,75.996,295406,4
metal,Classic Jack,0.352,0.936,7,-5.135,1,0.177,5.38e-5,2.42e-4,0.0851,0.473,199.988,169800,4
metal,Evildead,0.315,0.961,10,-2.722,0,0.094,3.09e-5,7.53e-5,0.321,0.501,99.024,192413,4
metal,Drown This City,0.393,0.937,1,-3.562,1,0.0872,0.00105,0.185,0.269,0.152,155.035,187000,4
metal,Osi And The Jupiter,0.48,0.347,7,-12.288,1,0.0316,0.658,0.996,0.106,0.228,117.299,189545,4
metal,Oceans,0.375,0.958,7,-4.931,1,0.115,7.22e-4,0.00208,0.265,0.299,72.238,218051,4
metal,SKÁLD,0.555,0.422,8,-11.541,0,0.0372,0.405,0.0569,0.135,0.35,170.115,160400,4
metal,Guns N' Roses,0.35,0.985,10,-5.676,0,0.122,0.00876,0.551,0.36,0.323,151.007,343640,4
